# A0 resolution/history convergence sweep — see
# docs/a0_transport_resolution_decision.md for the decision and
# data/parameter_provenance.csv for what these rows are allowed to
# rank (sensitivity_domain = transport_numerical only).
#
# Geometry, materials and spectrum are HELD FIXED throughout; only
# the tally resolution and the history count move. Per source
# particle: no source activity is involved.
#
# zero_score_fraction_roi counts bins INSIDE the cylinder only —
# the mesh spans the circumscribing cube, so ~21.5% of bins are
# void by construction and must score zero.
# field_diff_vs_reference aggregates the reference's DEPOSITED
# ENERGY onto each grid before comparing; it is not a mean of
# per-bin dose.
# peak_child_rss_kb_cumulative is a running high-water mark across
# all child processes, so only the largest value is meaningful.
coarsening_factor,mesh_nx,mesh_ny,mesh_nz,bin_volume_cm3,batches,particles,histories,seed,roi_bins,total_heating_eV_per_src,absorbed_fraction,zero_score_fraction_roi,heating_floor_eV,bins_above_floor,median_rel_err,p90_rel_err,max_rel_err,mass_weighted_mean_dose_Gy_per_src,total_mass_kg,field_diff_vs_reference,resolution_loss_vs_reference,runtime_s,histories_per_s,statepoint_bytes,peak_child_rss_kb_cumulative
1,48,48,48,0.244140625,5,50000,250000,1,86592,310615.7105548824,0.4694526763266089,0.031030580192165556,0.0,83905,0.6136200852728132,0.9999999999999998,1.0000000000000002,2.3476955151314494e-15,27.0,0.3465604275579395,0.3465604275579395,0.337,740785,1791912,182528
1,48,48,48,0.244140625,5,50000,250000,2,86592,311620.8158556445,0.47097175394373886,0.030614837398373982,0.0,83941,0.613430582711804,0.9999999999999998,1.0000000000000002,2.3547986939601032e-15,27.0,0.3486517624987339,0.3486517624987339,0.365,684283,1791912,184996
1,48,48,48,0.244140625,5,50000,250000,3,86592,309985.4287583127,0.46850009258346526,0.030730321507760533,0.0,83931,0.6136118245186366,0.9999999999999998,1.0000000000000002,2.3430153921037276e-15,27.0,0.3466763831926044,0.3466763831926044,0.364,686867,1791912,186364
1,48,48,48,0.244140625,5,50000,250000,4,86592,310659.1523288094,0.4695183325582205,0.03041851441241685,0.0,83958,0.6129177376101859,0.999004373825026,1.0000000000000002,2.347419955079324e-15,27.0,0.34859943388252146,0.34859943388252146,0.328,763046,1791912,186736
1,48,48,48,0.244140625,5,50000,250000,5,86592,310847.16074688657,0.4698024812733019,0.030753418329637842,0.0,83929,0.6136123381314561,0.9993054616877123,1.0000000000000002,2.349958317389291e-15,27.0,0.34879869150979975,0.34879869150979975,0.344,726582,1791912,186736
1,48,48,48,0.244140625,20,50000,1000000,1,86592,310647.99721815466,0.46950147315164953,0.00025406504065040653,0.0,86570,0.35557331737428144,0.5641244783993076,1.0000000000000002,2.347974886111434e-15,27.0,0.17493891532844488,0.17493891532844488,0.891,1121882,1791912,186736
1,48,48,48,0.244140625,20,50000,1000000,2,86592,311027.94916462747,0.47007571795668057,0.00035800073909830006,0.0,86561,0.3558542211594966,0.5643736433107392,1.0000000000000002,2.350765474064415e-15,27.0,0.17562334025416265,0.17562334025416265,0.724,1381558,1791912,186736
1,48,48,48,0.244140625,20,50000,1000000,3,86592,310696.8677688906,0.46957533422839787,0.0004157427937915743,0.0,86556,0.3560204914359136,0.5646997875977553,1.0000000000000002,2.3483598622793183e-15,27.0,0.17564238970395923,0.17564238970395923,0.872,1146149,1791912,186736
1,48,48,48,0.244140625,20,50000,1000000,4,86592,310599.83706023096,0.469428685735362,0.00032335550628233555,0.0,86564,0.3553365136089851,0.5633818624881428,1.0000000000000002,2.3474211629163225e-15,27.0,0.17654893435530009,0.17654893435530009,0.775,1290909,1791912,186736
1,48,48,48,0.244140625,20,50000,1000000,5,86592,310961.0495755916,0.4699746084826557,0.00028871027346637104,0.0,86567,0.3555221708809259,0.5641268661625066,1.0000000000000002,2.3504657371829668e-15,27.0,0.17620931510610854,0.17620931510610854,0.795,1258184,1791912,186736
1,48,48,48,0.244140625,80,50000,4000000,1,86592,310579.7019251914,0.46939825426421833,0.0,0.0,86592,0.1866659779635126,0.2828277298862254,0.7206204509966521,2.3473748977130595e-15,27.0,0.08960055712264413,0.08960055712264413,2.842,1407491,1791912,186736
1,48,48,48,0.244140625,80,50000,4000000,2,86592,310876.9223296894,0.4698474617885293,0.0,0.0,86592,0.18630838588147147,0.2820726219313589,0.9356962539715766,2.3495408245948503e-15,27.0,0.09022177760815903,0.09022177760815903,2.534,1578452,1791912,186736
1,48,48,48,0.244140625,80,50000,4000000,3,86592,310745.78054157435,0.46964925911777944,0.0,0.0,86592,0.18654790333580262,0.28197845993250986,0.7025596006645807,2.3485934845994317e-15,27.0,0.08977418862740423,0.08977418862740423,2.486,1608770,1791912,186736
1,48,48,48,0.244140625,80,50000,4000000,4,86592,310700.0734932213,0.469580179237248,0.0,0.0,86592,0.18672535797758988,0.2826402653409339,0.7067719502229991,2.3481845045569763e-15,27.0,0.09009277814594104,0.09009277814594104,2.655,1506449,1791912,186768
1,48,48,48,0.244140625,80,50000,4000000,5,86592,310842.88762083196,0.4697960230344091,0.0,0.0,86592,0.18638999357332126,0.2819704767726543,0.8668599064735525,2.3493745494029216e-15,27.0,0.09033622496290354,0.09033622496290354,2.567,1558402,1791912,186768
1,48,48,48,0.244140625,320,50000,16000000,1,86592,310743.99060711346,0.46964655387945903,0.0,0.0,86592,0.09460843284146422,0.14013415528674833,0.34086452175395143,2.348581419928132e-15,27.0,0.049017252064929,0.049017252064929,9.945,1608795,1791912,186768
1,48,48,48,0.244140625,320,50000,16000000,2,86592,310772.0679551596,0.46968898890684657,0.0,0.0,86592,0.09459433757205224,0.14029253844928677,0.31879614295545433,2.3488126920131883e-15,27.0,0.04905272046728677,0.04905272046728677,10.149,1576492,1791912,186768
1,48,48,48,0.244140625,320,50000,16000000,3,86592,310826.7478665528,0.469771630028569,0.0,0.0,86592,0.09461836058881633,0.1400705582614617,0.30042337804466845,2.3491970368572158e-15,27.0,0.048640089007509255,0.048640089007509255,9.776,1636597,1791912,186948
1,48,48,48,0.244140625,320,50000,16000000,4,86592,310754.6236079281,0.4696626241892347,0.0,0.0,86592,0.09453061063069612,0.14046355360213988,0.3353421254011231,2.348697975408382e-15,27.0,0.04886149174727031,0.04886149174727031,11.935,1340599,1791912,186948
1,48,48,48,0.244140625,320,50000,16000000,5,86592,310830.98025924084,0.46977802670461316,0.0,0.0,86592,0.09456019852436945,0.140301834383301,0.35285993234611623,2.3492427077991694e-15,27.0,0.04861271145157385,0.04861271145157385,13.991,1143599,1791912,186948
2,24,24,24,1.953125,5,50000,250000,1,10752,310615.7105548824,0.4694526763266089,0.0,0.0,10752,0.24336074472202035,0.43539027385367424,0.9648679048406347,2.3563131341184097e-15,27.0,0.1245022491074481,0.24990803513477278,0.321,779700,243624,186948
2,24,24,24,1.953125,5,50000,250000,2,10752,311620.8158556446,0.4709717539437389,0.0,0.0,10752,0.24409414046812428,0.43563618857756986,1.0,2.3630761399636884e-15,27.0,0.12414869751430599,0.24980765836590274,0.335,745929,243624,186948
2,24,24,24,1.953125,5,50000,250000,3,10752,309985.4287583127,0.46850009258346526,0.0,0.0,10752,0.24224605643214647,0.434208123413935,0.9670595483351226,2.3507616293591997e-15,27.0,0.12589568535909648,0.25020406185128946,0.295,846165,243624,186948
2,24,24,24,1.953125,5,50000,250000,4,10752,310659.1523288094,0.4695183325582205,0.0,0.0,10752,0.24013663892562584,0.4321242946268065,1.0,2.3555770769652107e-15,27.0,0.1248928550718629,0.24942192346045858,0.362,691018,243624,186948
2,24,24,24,1.953125,5,50000,250000,5,10752,310847.1607468866,0.469802481273302,0.0,0.0,10752,0.24258755876242405,0.4325014415131181,1.0,2.357821350636251e-15,27.0,0.12508454422451026,0.24884774804179985,0.346,721720,243624,186948
2,24,24,24,1.953125,20,50000,1000000,1,10752,310647.99721815466,0.46950147315164953,0.0,0.0,10752,0.1309775631858638,0.20592886805576813,0.45573782305618954,2.356183574188453e-15,27.0,0.06291052258643134,0.2014164084510976,1.037,964068,243624,186948
2,24,24,24,1.953125,20,50000,1000000,2,10752,311027.94916462747,0.47007571795668057,0.0,0.0,10752,0.13087608078374618,0.20422707971133258,0.48681796253136284,2.3591148792615655e-15,27.0,0.06206690948634092,0.2011912830733321,0.994,1005924,243624,186948
2,24,24,24,1.953125,20,50000,1000000,3,10752,310696.8677688906,0.46957533422839787,0.0,0.0,10752,0.13015409802479225,0.2056574224074497,0.4498370346995428,2.356339752937553e-15,27.0,0.06308909006835166,0.20125461059851454,0.858,1165818,243624,186948
2,24,24,24,1.953125,20,50000,1000000,4,10752,310599.83706023096,0.469428685735362,0.0,0.0,10752,0.13037736198181252,0.20510585185656818,0.44164382812542635,2.3556281710827024e-15,27.0,0.06292742244889035,0.20173606660061766,0.969,1031483,243624,186948
2,24,24,24,1.953125,20,50000,1000000,5,10752,310961.0495755916,0.4699746084826557,0.0,0.0,10752,0.13050229378336553,0.2060780939758944,0.4991607439987532,2.3582662701395647e-15,27.0,0.06291988266196333,0.20113579516938984,0.96,1041647,243624,186948
2,24,24,24,1.953125,80,50000,4000000,1,10752,310579.7019251914,0.46939825426421833,0.0,0.0,10752,0.06692380351316815,0.10075954423389195,0.18821672050800844,2.3555072753911953e-15,27.0,0.03230924081263419,0.1831538397119585,3.271,1223052,243624,186948
2,24,24,24,1.953125,80,50000,4000000,2,10752,310876.9223296894,0.4698474617885293,0.0,0.0,10752,0.0667282312064576,0.10020038653417712,0.2004904688035222,2.3577845055109048e-15,27.0,0.03208095815532191,0.18312009115374575,2.874,1391707,243624,186948
