# openmc_debiased_effects — THE GATE INPUT. One row per
# (scenario, mesh_factor, outer_draw); there is deliberately no
# replicate column, because the U-statistic runs over ordered
# replicate PAIRS r != s and consumes that dimension.
#
# s_hat estimates ||E[d]||^2_W with no noise term, because for
# independent replicates E[d_r^T W d_s] = E[d_r]^T W E[d_s].
# IT MAY BE NEGATIVE, and that is the point: an unbiased
# estimate of a non-negative quantity must fall below zero
# about half the time when the true effect is zero. A negative
# row is evidence of no effect, never a defect.
#
# e_squared = s_hat / (debiased ||D0||^2_W) and is compared
# against delta^2. Do NOT take its square root before gating:
# a root near zero reintroduces the positive bias this exists
# to remove.
# jackknife_var is the delete-one-replicate variance OF THE
# RATIO, since the ratio is what the gate consumes.
#
# provenance: git_commit=9987a75a6a2451661bd4c583344ad6ff414b29c9-dirty
#   (names the PARENT commit; an artifact cannot name the commit that contains it)
# provenance: openmc_version=0.15.3
# provenance: nuclear_data=endfb-viii.0-hdf5/cross_sections.xml sha256=200cc6b97aa8cacc (endfb-viii.0-hdf5.tar.xz.sha256)
# provenance: particles=5000 batches=20 replicates=3 outer_draws=4
# provenance: mesh_factors=1,2,4,5 volume_samples=500000
# provenance: threshold_policy_id=synthetic_gate_contract_v1 metric_id=debiased_relative_l2_squared
# provenance: snapshot=snap.h5 config=reference_synthetic_biofilm_e2e.toml
# provenance: argv=--snapshot /tmp/claude-1000/-home-aurascoper-Developer-Biofilms/e77a47ab-b7f6-4c9e-b2f8-752fd9a9a76e/scratchpad/snap.h5 --config config/reference_synthetic_biofilm_e2e.toml --outdir artifacts/pilot --levers --include-near-threshold --publish --budget-seconds 2400
scenario,mesh_factor,outer_draw,density_g_cm3,paired_seeds,omega_b_bins,s_hat,denominator,e_squared,n_replicates,jackknife_var,metric_id
noise_floor,1,0,1.0538425200611092,False,1631,-1.3594948035848047e-31,5.024032076147103e-27,-2.7059835267361437e-05,3,1.0739187897128394e-09,debiased_relative_l2_squared
noise_floor,1,1,1.0513908517888564,False,1631,-1.6813084832981023e-31,4.8506220064095415e-27,-3.466170897415725e-05,3,5.416748530226544e-08,debiased_relative_l2_squared
noise_floor,1,2,1.0783664227045724,False,1631,-2.1457244144768086e-31,4.946155408155532e-27,-4.3381661864865855e-05,3,8.353794610401989e-09,debiased_relative_l2_squared
noise_floor,1,3,1.0770802561698172,False,1631,2.6724197346930804e-30,5.0815261215065135e-27,0.0005259088846129539,3,1.234375144083006e-06,debiased_relative_l2_squared
clearly_detectable,1,0,1.0538425200611092,True,1631,2.4518193948876684e-28,5.024032076147104e-27,0.048801826057765785,3,9.642858170127613e-07,debiased_relative_l2_squared
clearly_detectable,1,1,1.0513908517888564,True,1631,2.493979246923082e-28,4.850622006409541e-27,0.05141565852023873,3,2.203648482440118e-06,debiased_relative_l2_squared
clearly_detectable,1,2,1.0783664227045724,True,1631,2.536399435038761e-28,4.946155408155532e-27,0.0512802212169999,3,2.9928341852573987e-08,debiased_relative_l2_squared
clearly_detectable,1,3,1.0770802561698172,True,1631,2.5724174951252315e-28,5.081526121506515e-27,0.05062293164720739,3,1.0953831460483738e-06,debiased_relative_l2_squared
lever_density_x1.35,1,0,1.0538425200611092,True,1631,3.7110271440993023e-31,5.024032076147103e-27,7.386551454793387e-05,3,3.6911774120628643e-09,debiased_relative_l2_squared
lever_density_x1.35,1,1,1.0513908517888564,True,1631,2.2690424287617552e-31,4.85062200640954e-27,4.67783807058863e-05,3,1.0658707622893547e-09,debiased_relative_l2_squared
lever_density_x1.35,1,2,1.0783664227045724,True,1631,2.6842590568016374e-31,4.946155408155531e-27,5.426960609397074e-05,3,7.488102180700596e-09,debiased_relative_l2_squared
lever_density_x1.35,1,3,1.0770802561698172,True,1631,2.322367675846605e-31,5.081526121506515e-27,4.570216939390828e-05,3,2.1288269882576615e-09,debiased_relative_l2_squared
lever_density_x1.35_unpaired,1,0,1.0538425200611092,False,1631,9.61681445031545e-31,5.024032076147102e-27,0.00019141626296483608,3,3.0353820610078786e-09,debiased_relative_l2_squared
lever_density_x1.35_unpaired,1,1,1.0513908517888564,False,1631,-2.7029220105422116e-31,4.850622006409541e-27,-5.572320430185263e-05,3,2.480901608897321e-09,debiased_relative_l2_squared
lever_density_x1.35_unpaired,1,2,1.0783664227045724,False,1631,-6.709089344430132e-31,4.946155408155532e-27,-0.00013564251000621136,3,1.2559842774938124e-07,debiased_relative_l2_squared
lever_density_x1.35_unpaired,1,3,1.0770802561698172,False,1631,2.6762328309950362e-30,5.081526121506515e-27,0.000526659268692614,3,5.993406934086557e-07,debiased_relative_l2_squared
lever_Fe_5pct,1,0,1.0538425200611092,True,1631,3.1913272595767974e-32,5.024032076147103e-27,6.352123575660379e-06,3,9.004358995757067e-13,debiased_relative_l2_squared
lever_Fe_5pct,1,1,1.0513908517888564,True,1631,2.4881811166117464e-32,4.850622006409543e-27,5.129612477170761e-06,3,1.249689074828171e-12,debiased_relative_l2_squared
lever_Fe_5pct,1,2,1.0783664227045724,True,1631,3.989937989224551e-32,4.946155408155532e-27,8.066746108797331e-06,3,3.262366809044765e-12,debiased_relative_l2_squared
lever_Fe_5pct,1,3,1.0770802561698172,True,1631,3.257225313923133e-32,5.081526121506516e-27,6.409935196707137e-06,3,9.00690698812243e-13,debiased_relative_l2_squared
lever_Fe_5pct_unpaired,1,0,1.0538425200611092,False,1631,-6.155764530062125e-32,5.024032076147106e-27,-1.22526377952247e-05,3,4.665032519276977e-09,debiased_relative_l2_squared
lever_Fe_5pct_unpaired,1,1,1.0513908517888564,False,1631,-7.389254270616043e-32,4.850622006409543e-27,-1.5233622122795772e-05,3,5.6828693945456955e-08,debiased_relative_l2_squared
lever_Fe_5pct_unpaired,1,2,1.0783664227045724,False,1631,-2.0962673487243612e-31,4.946155408155532e-27,-4.238175260866053e-05,3,9.31426796590594e-09,debiased_relative_l2_squared
lever_Fe_5pct_unpaired,1,3,1.0770802561698172,False,1631,3.140635394046395e-30,5.081526121506515e-27,0.0006180496407869087,3,1.2891140426851764e-06,debiased_relative_l2_squared
lever_Gd_5pct,1,0,1.0538425200611092,True,1631,6.634747147669234e-30,5.024032076147103e-27,0.0013206020676439186,3,1.529421201562481e-09,debiased_relative_l2_squared
lever_Gd_5pct,1,1,1.0513908517888564,True,1631,6.844981944954928e-30,4.850622006409543e-27,0.0014111555045744784,3,6.284527598000517e-09,debiased_relative_l2_squared
lever_Gd_5pct,1,2,1.0783664227045724,True,1631,6.56669235927265e-30,4.94615540815553e-27,0.0013276356720302556,3,2.6070164893178426e-09,debiased_relative_l2_squared
lever_Gd_5pct,1,3,1.0770802561698172,True,1631,6.53138481164703e-30,5.081526121506515e-27,0.0012853195389480113,3,7.545866213920195e-09,debiased_relative_l2_squared
lever_Gd_5pct_unpaired,1,0,1.0538425200611092,False,1631,5.19921474746263e-30,5.024032076147105e-27,0.0010348689396604872,3,3.8998039453551287e-07,debiased_relative_l2_squared
lever_Gd_5pct_unpaired,1,1,1.0513908517888564,False,1631,5.81217999553337e-30,4.850622006409541e-27,0.0011982339559448748,3,1.5520974420508216e-07,debiased_relative_l2_squared
lever_Gd_5pct_unpaired,1,2,1.0783664227045724,False,1631,8.06406800274677e-30,4.946155408155531e-27,0.001630370932027374,3,8.872882237027341e-08,debiased_relative_l2_squared
lever_Gd_5pct_unpaired,1,3,1.0770802561698172,False,1631,3.232582643696923e-30,5.081526121506515e-27,0.0006361440571988169,3,4.132682258171509e-07,debiased_relative_l2_squared
lever_dehydration_H_0.06,1,0,1.0538425200611092,True,1631,1.243270304823234e-29,5.024032076147102e-27,0.00247464643135139,3,6.942529811624882e-09,debiased_relative_l2_squared
lever_dehydration_H_0.06,1,1,1.0513908517888564,True,1631,8.821472818733989e-30,4.850622006409541e-27,0.0018186271383499734,3,1.6451990113958458e-09,debiased_relative_l2_squared
lever_dehydration_H_0.06,1,2,1.0783664227045724,True,1631,1.044663427889034e-29,4.94615540815553e-27,0.0021120715822364328,3,5.03295656824912e-08,debiased_relative_l2_squared
