# openmc_effect_samples — one row per transport replicate.
# tier S0, target_calibration = false. The effect is the
# mass-weighted relative L2 dose-field change over occupied
# biological material, not a maximum relative difference.
scenario,mesh_factor,outer_draw,replicate,density_g_cm3,effect_rel_l2,omega_b_bins,reported_rel_err_median
zero_effect,1,0,0,1.0632443258200208,4.924556317496863e-16,983,0.18473049200542568
zero_effect,1,0,1,1.0632443258200208,4.925886342028999e-16,983,0.18563654636844804
zero_effect,1,0,2,1.0632443258200208,1.3172335351436817e-16,983,0.18805751355822814
zero_effect,1,1,0,1.0414034003562742,2.540647407611788e-16,949,0.1828678404166712
zero_effect,1,1,1,1.0414034003562742,1.3989393511845777e-16,949,0.1853913267363388
zero_effect,1,1,2,1.0414034003562742,3.751298607661212e-16,949,0.18342108669674947
zero_effect,1,2,0,1.08493877817175,2.579762936735269e-16,968,0.17703673986865331
zero_effect,1,2,1,1.08493877817175,5.037377154177856e-16,968,0.18202405447385314
zero_effect,1,2,2,1.08493877817175,3.8062198848157287e-16,968,0.18423035519015282
clearly_detectable,1,0,0,1.0632443258200208,0.22082328574154664,983,0.1847304920054257
clearly_detectable,1,0,1,1.0632443258200208,0.22147131015871535,983,0.18563654636844804
clearly_detectable,1,0,2,1.0632443258200208,0.2229612995185271,983,0.18805751355822814
clearly_detectable,1,1,0,1.0414034003562742,0.22072034059935372,949,0.18286784041667117
clearly_detectable,1,1,1,1.0414034003562742,0.232308270971283,949,0.1853913267363388
clearly_detectable,1,1,2,1.0414034003562742,0.22704663176917744,949,0.18342108669674947
clearly_detectable,1,2,0,1.08493877817175,0.22540522580691638,968,0.17703673986865331
clearly_detectable,1,2,1,1.08493877817175,0.22815687319284417,968,0.18202405447385314
clearly_detectable,1,2,2,1.08493877817175,0.22847492202374642,968,0.18423035519015282
zero_effect,2,0,0,1.0632443258200208,7.225822868045179e-17,199,0.07972608230411911
zero_effect,2,0,1,1.0632443258200208,1.0143349698747532e-16,199,0.07912410409328374
zero_effect,2,0,2,1.0632443258200208,3.0605476109995934e-16,199,0.0830176671167096
zero_effect,2,1,0,1.0414034003562742,8.804929144860031e-17,199,0.08235799959732068
zero_effect,2,1,1,1.0414034003562742,1.5653130570154388e-16,199,0.08209928849150419
zero_effect,2,1,2,1.0414034003562742,1.3701012152833116e-16,199,0.07948698297332614
zero_effect,2,2,0,1.08493877817175,2.9875694078006447e-16,199,0.0788892385312918
zero_effect,2,2,1,1.08493877817175,7.217897974927498e-16,199,0.07894836283186225
zero_effect,2,2,2,1.08493877817175,2.969151742268264e-16,199,0.08221140739164219
clearly_detectable,2,0,0,1.0632443258200208,0.2558882151799666,199,0.07972608230411928
clearly_detectable,2,0,1,1.0632443258200208,0.2575686421553574,199,0.07912410409328374
clearly_detectable,2,0,2,1.0632443258200208,0.2587220097323313,199,0.08301766711670983
clearly_detectable,2,1,0,1.0414034003562742,0.2568933590669069,199,0.08235799959732058
clearly_detectable,2,1,1,1.0414034003562742,0.26268390465145036,199,0.08209928849150419
clearly_detectable,2,1,2,1.0414034003562742,0.25993250365609655,199,0.07948698297332625
clearly_detectable,2,2,0,1.08493877817175,0.2620882789948908,199,0.0788892385312918
clearly_detectable,2,2,1,1.08493877817175,0.2598785436945747,199,0.0789483628318624
clearly_detectable,2,2,2,1.08493877817175,0.26340490928852595,199,0.08221140739164226
