# radiotrophic_dataset_candidates — public records screened for radiation-phenotype
# evidence for the seven modelled species
#
# NO EXACT TARGET SPECIES HAS A CALIBRATED 3-D RADIATION-EXPOSED BIOMASS
# FIELD. Not one. raw_3d_images is false on EVERY radiation-exposed row
# below. The three requirements — an exact modelled species, a physically
# calibrated three-dimensional biomass field, and a characterised exposure
# — are satisfied pairwise only twice: 3-D without radiation (B. subtilis)
# and radiation without 3-D (C. neoformans, C. sphaerospermum, A. niger,
# S. oneidensis). A radiation-exposed 3-D biomass field for a target
# species must be ACQUIRED, not retrieved.
#
# This ledger is NOT a calibration. It populates no parameter:
# lattice_pitch_um, density_g_cm3, seconds_per_mcs,
# normalization.hamiltonian_scale, normalization.melanin_scale and every
# material composition are untouched by every row here, and no row may be
# read as implying one. It is also NOT a proof of absence: each
# "NO CANDIDATE FOUND" row is a search result on one date across a named
# set of repositories, sampled and not exhausted.
#
# PHENOTYPE FOLLOWS THE ENDPOINT MEASURED — never the title, never the
# organism's reputation, never an adjective in a strain description.
# Relabelling radioresistance as radiotrophy is a STOP CONDITION, not a
# judgement call. D. radiodurans carries none_demonstrated here because
# nothing catalogued here irradiated it; the label is not imported on
# reputation. UV, in any band, is not ionizing radiation for this project
# under any circumstances.
#
# growth_data is true ONLY where growth, biomass or a metabolic rate was
# measured. A survival or inactivation curve alone is false, and the notes
# say why — that distinction is the whole difference between radiotrophy
# and radioresistance.
#
# Includes INCOMPATIBLE candidates on purpose: a screening ledger that
# records only its survivors is not a screening record. An open-access
# article is not an available dataset, and a rendered confocal figure in a
# paper is not a raw 3D dataset; access_status describes the DATA, not the
# article.
#
# UNIQUENESS KEY: dataset_id
# Blank numeric cells mean NOT MEASURED. They are never read as zero.
# BOOLEAN cells are {true, false, unverified}. unverified is the honest
# value wherever a landing page did not say; a blank never means "no".
# Text cells use unverified (not stated anywhere consulted), not_measured
# (the quantity was never measured) and not_applicable (no such quantity
# exists for this record) — three distinct facts, never collapsed.
#
# STOP CONDITIONS HIT BY THIS PASS, recorded because the rejections are
# the evidence:
#   TARGETED_LAB_EXPERIMENT_REQUIRED — radiotrophy is earned by exactly one
#     record here (Dadachova 2007), against a same-species negative
#     melanin-pathway result at 1 and 3 kGy, a same-genus null growth
#     result under a TLD-anchored 137Cs field, an isogenic null in
#     A. niger across three ionizing modalities, and a formal energy-budget
#     critique. The discriminating experiment exists in no archive and
#     cannot be requested from anyone, because nobody has made it.
#   PUBLIC_DATA_CAN_VALIDATE_PIPELINE_ONLY — public exact-species
#     volumetric imaging exists for one of the seven, and nothing in it
#     calibrates a radiation term.
#   TARGET_WET_BULK_MEASUREMENT_REQUIRED — no source pairs a calibrated
#     hydrated volume with wet mass, dry mass and matched blanks, for any
#     organism, under one growth condition.
#   PUBLIC_COMPONENTS_FOUND_BUT_NOT_PAIRED — the components exist
#     separately and none is paired with another.
#   ISS FIELD IRRECONCILABLE — four inputs are needed and all four are
#     absent; supplying any of them would mean inventing it. The attempt
#     is itself the stop condition.
#   NO OpenMC PHOTON VALIDATION CANDIDATE — the two nearest records fail on
#     opposite axes: Bland 2022 has a photon field and no transport
#     measurement, Vasileiou 2020 has a transport measurement and no
#     photons.
#   UNSUPPORTED_BY_CURRENT_MODEL — radiotropism (Zhdanova 2004) is measured
#     as directed hyphal elongation on organisms whose CPM representation
#     is an isotropic biomass parcel with no elongation or connectivity
#     term. That is a model finding, not a data gap.
#
# SOURCE REGISTRY: every source_id here resolves in data/sources.csv.
# data/research/ sits outside the two calibration branches, whose
# registries are branch-local ON PURPOSE, so this ledger cites the root
# registry rather than data/calibration/spatial/sources.csv. Individual
# DOIs and accessions live in persistent_identifier, exactly as
# data/calibration/spatial/dataset_candidates.csv puts them in identifier.
#
# ACCESS NOTE: nine access controls were encountered during the audit and
# none was circumvented. Dryad fronts its download endpoints with Anubis, a
# proof-of-work anti-bot challenge; heiDATA's Anubis instance is
# user-agent dependent and a plain client returned HTTP 200, recorded as
# verified-but-UA-dependent. bioRxiv, ScienceDirect, Elsevier, ACS and OUP
# returned 403, Wiley returned 402, and PMC174092 is a scanned page image
# behind an HTML bot-wall. Every one is recorded as a value in
# access_status rather than as a missing row.
dataset_id,title,persistent_identifier,species,strain,candidate_class,phenotype_labels,radiation_modality,energy_or_spectrum,dose,dose_rate,exposure_duration,source_geometry,dosimetry_method,growth_conditions,raw_3d_images,time_series,physical_voxel_calibration,growth_data,dry_biomass_data,melanin_data,attenuation_data,biological_replicates,file_formats,total_size,license,access_status,model_contribution,source_id,status,notes
cneoformans_geo_gse80230,Transcriptome and survival of Cryptococcus neoformans after gamma irradiation,GSE80230,Cryptococcus neoformans,H99,target_exact_radiation,radiation_responsive,gamma,60Co 1.173 and 1.332 MeV,1 kGy; 3 kGy,not_measured,recovery sampled at 30/60/120 min,unverified,not_measured,unverified,false,true,false,false,false,false,false,unverified,GEO series matrix; supplementary archive,25835520 B,unverified,direct_download,model_revision_evidence,RADIOTROPHIC_AUDIT_2026,ready,"EXACT SPECIES, EXACT MODALITY, NO 3D. 25,835,520 B verified against the deposit's own filelist.txt. growth_data is false: the only viability readout is spot-dilution survival, which is an inactivation endpoint and not a growth measurement. melanin_data is false on purpose — LAC1 and LAC2 are TRANSCRIPTS, not pigment mass. The result points NEGATIVE and it is same-species, same-modality, two-point: expression of both genes DECREASED after 1 and 3 kGy, the authors concluding that gamma radiation itself did not trigger melanin formation. Evidence against any melanin_production = f(ionizing dose) term with f increasing."
cneoformans_geo_gse117227,RNA-seq of Cryptococcus neoformans H99 and rad53 after gamma irradiation,GSE117227,Cryptococcus neoformans,H99; rad53 delta,target_exact_radiation,radiation_responsive,gamma,isotope unstated,0.5 kGy,not_measured,sampled 30 min post-exposure,unverified,not_measured,unverified,false,false,false,false,false,false,false,unverified,GEO supplementary,850000 B,unverified,direct_download,prior_only,RADIOTROPHIC_AUDIT_2026,ready,"EXACT SPECIES, DNA-damage checkpoint arm. Single timepoint, single dose, no growth or biomass endpoint. The isotope is not stated on the landing page, so the field is photon-plausible but its spectrum is unverified; it cannot enter a transport comparison on that basis."
cneoformans_khajo2011_melanin_chemistry,Melanin chemistry and radionuclide binding in Cryptococcus neoformans under gamma irradiation,unverified,Cryptococcus neoformans,cap67 (acapsular),target_exact_radiation,radiation_responsive,gamma,137Cs 661.657 keV,120 Gy; 360 Gy,11.94 Gy/min,~10 and ~30 min at the stated rate,unverified,unverified,unverified,false,false,false,false,false,true,false,unverified,none (article only),not_applicable,unverified,direct_download,prior_only,RADIOTROPHIC_AUDIT_2026,ready,"melanized_radioprotective REFUSED. The survival comparison is NOT PERFORMED in this paper — verbatim, 'These radiation doses are in a range known from prior work to demonstrate significant protection', citing Dadachova 2008. What is measured is melanin CHEMISTRY: EPR, 263 nm breakdown products, TBARS and 213Bi binding. melanin_data is true for structure, false for amount — nothing here quantifies pigment against dose. One of only two photon-dominated fields in the audit with a stated source and rate. No deposit exists."
cneoformans_malo2018_ultrastructure,Ultrastructural damage in melanized and non-melanized Cryptococcus neoformans across modalities,unverified,Cryptococcus neoformans,unverified,target_exact_radiation,melanized_radioprotective;radiation_responsive,gamma;deuteron;alpha,unverified,unverified,unverified,unverified,unverified,unverified,unverified,false,false,false,false,false,true,false,unverified,none (article only),not_applicable,unverified,metadata_only,prior_only,RADIOTROPHIC_AUDIT_2026,blocked,"Fungal Biology 122:449-456. radioresistant REFUSED: the survival clause in this paper refers to the group's PRIOR work, not to a curve printed here. What is measured is morphology — cell-wall integrity retained in melanized cells at mid and maximum dose, two distinct failure morphologies in non-melanized cells. Doses are not stated numerically anywhere accessible: dose, dose rate and dosimetry method read unverified rather than not_measured, because an exposure was delivered and it is the paywalled Methods that were unreadable, not the measurement that is absent. Elsevier paywall, full text unread; abstract read via Europe PMC. Two of the three modalities are charged particles and cannot enter a photon comparison at all."
cneoformans_schultzhaus2019_melanin_gamma,Transcriptome of melanized and non-melanized Cryptococcus neoformans under gamma radiation,unverified,Cryptococcus neoformans,unverified,target_exact_radiation,radiation_responsive,gamma,unverified,unverified,unverified,unverified,unverified,unverified,unverified,false,unverified,false,false,false,unverified,false,unverified,none located,not_applicable,unverified,metadata_only,model_revision_evidence,RADIOTROPHIC_AUDIT_2026,blocked,"Environmental Microbiology 21:2613-2628. THE SINGLE MOST IMPORTANT RECORD FOR MODEL REVISION IN THE AUDIT, and only its abstract is readable: isOpenAccess N, no accession located after three targeted NCBI queries, while the same group's Exophiala data are deposited across five BioProjects — which makes the absence conspicuous rather than expected. Author contact wants the accession plus dose, dose rate, dosimetry method and strain from the Methods — which is exactly why those four cells read unverified and not not_measured: the quantities are stated in a Methods section this pass could not read."
melanized_fungi_dadachova2007_radiotrophy,Ionizing radiation changes the electronic properties of melanin and enhances the growth of melanized fungi,unverified,Cryptococcus neoformans; Wangiella (Exophiala) dermatitidis; Cladosporium sphaerospermum,H99; WD wild type and mel-; unverified,target_exact_radiation,radiotrophic,beta;gamma,188Re beta (cell arm); 137Cs 661.657 keV (isolated melanin arm),not_measured,0.05 mGy/h (cells); 14 Gy/min (isolated melanin),15-30 h (cell arm),188Re in the medium; source characterised by analogy to Chernobyl rather than by a stated dosimeter,not_measured,unverified,false,true,false,true,true,false,false,unverified,none (article only),not_applicable,unverified,direct_download,prior_only,RADIOTROPHIC_AUDIT_2026,provisional,"THE ONLY RECORD IN THIS LEDGER THAT EARNS radiotrophic, and it earns it on growth contrasts, not damage or survival contrasts: CFU ~2.5x at 18/23/30 h (P = 0.006), 14C-acetate incorporation ~3x, dry weight +6.5% (C. neoformans, P = 0.02) and +8-10% (W. dermatitidis, P = 0.02); colony diameter and radial growth rate for C. sphaerospermum with a tricyclazole contrast. It does NOT license the word for the repository's species labels. The integrated cell dose is not stated; 0.05 mGy/h over 15-30 h implies roughly 0.75-1.5 uGy (inference, labelled), some eight orders below its own isolated-melanin arm. Melanin carried a BASELINE COST in the same experiment — non-irradiated Lac- cells grew better and incorporated more 14C-acetate than non-irradiated melanized cells — so the melanized-versus-albino comparison under radiation is confounded by a difference already present without radiation. Verdict on this line of evidence: TARGETED_LAB_EXPERIMENT_REQUIRED."
cneoformans_wang1996_melanin_mass_fraction,Melanin content of Cryptococcus neoformans grown on L-dopa,unverified,Cryptococcus neoformans,ATCC 24067 (serotype D),target_exact_material,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,defined minimal medium; 1.0 mM L-dopa; 10 d,false,false,false,false,true,true,false,unverified,none (article only),not_applicable,unverified,browser_manual,prior_only,RADIOTROPHIC_AUDIT_2026,blocked,"The one melanin mass fraction located for a modelled species: melanin comprised 15.4% of the dry mass of the cell after 10 days. IT IS NOT A SPECIES CONSTANT, on four grounds measured inside the same paper — strain (up to eightfold spread across seven strains; H99, the strain in both GEO deposits, was not profiled), precursor (relative content 0.05 catechol / 0.45 dopamine / 1.0 L-dopa), duration and temperature (melanization slower at 37 C, converging only by day 14, so a day-10 value sits on a rising curve), and medium (a maximal-melanization laboratory condition, not the nutrient state of any biofilm). And a fifth, on basis: 15.4% is lyophilized-ghost over lyophilized-whole-cell mass, a DRY-CELL quantity, while the contract requires hydrated_bulk_biofilm on a wet_bulk basis and no w_water exists for this system. PMC174092 is a scanned page image and both PDF endpoints returned HTML bot-walls, so the 153 mg / 994.7 mg mass pair and the CHN percentages are recorded as UNVERIFIED."
cneoformans_ravi2009_biofilm_thickness,Biofilm formation by Cryptococcus neoformans under distinct environmental conditions,unverified,Cryptococcus neoformans,unverified,target_exact_biofilm,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,48 h; 25-37 C,false,false,false,false,false,false,false,unverified,none (rendered figures only),not_applicable,unverified,direct_download,prior_only,RADIOTROPHIC_AUDIT_2026,provisional,"Biofilm thickness ~17.0 um at 37 C and ~16 um at 25-35 C after 48 h, existing only as rendered figures inside the article. THIS IS A CONSTRAINT OBSERVATION, NOT A PITCH: reading it as one would be the N=60 error wearing a biological hat. No raw stacks, no voxel calibration, no volume — a thickness is not a volume, and _require_volume() refuses a bare number precisely because it cannot say what it encloses."
cneoformans_zenodo_21921798_nmr,Solid-state NMR of Cryptococcus cell walls,doi:10.5281/zenodo.21921798,Cryptococcus sp.,unverified,target_near,none_demonstrated,none,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,unverified,false,false,false,false,unverified,unverified,false,unverified,ZIP (NMR_DepositionV2.zip),143676256 B,CC BY 4.0,direct_download,prior_only,RADIOTROPHIC_AUDIT_2026,provisional,"Deposited 2026-08-13, description field EMPTY, no related preprint identifier, contents UNINSPECTED. It must not be described as raw until unpacked, and it must not be described as a C. neoformans record until the strain designations are read. Cheaper than an author request: unpack the 143.7 MB archive and read the sample table."
csphaerospermum_iss_frontiers2022,Cultivation of the dematiaceous fungus Cladosporium sphaerospermum aboard the International Space Station,doi:10.3389/fmicb.2022.877625,Cladosporium sphaerospermum,ATCC 11289,incompatible,none_demonstrated,mixed_low_earth_orbit,uncharacterised; authors attribute trapped-belt electrons of hundreds of keV and protons above 100 MeV,not_measured,not_measured,622.5 h,ISS cabin; PIN photodiode sensor pair above and below a Petri dish,none — PIN photodiode count rate only,potato dextrose agar; 13.33 mm depth,false,true,false,true,false,false,false,n=1 dish (flight arm; no replication of the flight arm),XLSX; PDF; DOCX supplements,14821993 B,CC BY 4.0,direct_download,prior_only,RADIOTROPHIC_AUDIT_2026,not_applicable,"THE FLAGSHIP RECORD BEHIND THE WORD 'RADIOTROPHIC' IN THIS REPOSITORY, AND IT EARNS NO PHENOTYPE AT ALL. (1) No dose axis exists — verbatim, 'Due to the nature of the employed radiation sensors (PIN photodiode), dosimetric data was not obtained'; two mutually inconsistent count-to-dose conversions appear in the supplement (~2.2 nGy per count; ~0.5 nGy per CPM), differing by 4.4x, and both divide someone else's whole-body dose rate by this detector's count rate. (2) The shielding result is not significant: 147 vs 151 CPM, phase 1 p = 0.970 (a proper negative control), phase 3 p = 0.069, n = 1 dish, one sensor pair, no attenuation coefficient, no areal density, and the attenuation path is dominated by 13.33 mm of agar. (3) The growth comparison is flight versus ground with microgravity, transit history and temperature regime confounded — the authors say so. (4) Melanin was NEVER measured: 'presumably constant', 'putatively'. (5) PEER REVIEW REMOVED THE CLAIM — every supplement page header still reads 'A Self-Replicating Radiation-Shield ... Radiotrophic Fungi can Attenuate Ionizing Radiation', while the published title reads 'Cultivation of the Dematiaceous Fungus...'. (6) The headline 1.21 +/- 0.37-fold does not reproduce internally against the supplement's 1.64-fold logistic-slope figure or the article's own rate constants, and does not exclude unity. INCOMPATIBLE on modality: a photon-only model cannot represent this field, and reconciling it is a stop condition. The analysis code at github.com/chkern/space-radiation is genuinely useful for the supplement's sheet structure and its _n/_nt NOISE CHANNELS, but its licence field is null and it pins no data version — not citable; if ever used, pin a commit SHA."
