# melanin ensemble sweep
# N=40 parcels_per_species=6 n_mcs=400 snapshot_interval=100
# seeds=42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
# observable=mean melanin over OCCUPIED SITES (volume-weighted; biofilms_potts.jl take_snapshot). The mean of per-parcel means is a different quantity and is not computed here.
# alpha_M is a declared input, not a measurement.
seed,mcs,species,species_name,alpha_M,volume,n_cells,mean_melanin
42,0,1,C. neoformans,0.1000,648,6,0.000000
42,0,2,D. radiodurans,0.0000,544,6,0.000000
42,0,3,C. sphaerospermum,0.1400,498,6,0.000000
42,0,4,B. subtilis,0.0000,275,6,0.000000
42,0,5,A. niger,0.0650,349,6,0.000000
42,0,6,S. oneidensis,0.0000,349,6,0.000000
42,0,7,O. intermedium AM7,0.0000,375,6,0.000000
42,100,1,C. neoformans,0.1000,698,6,0.973334
42,100,2,D. radiodurans,0.0000,703,6,0.298574
42,100,3,C. sphaerospermum,0.1400,698,6,1.437157
42,100,4,B. subtilis,0.0000,701,6,0.312091
42,100,5,A. niger,0.0650,698,6,0.938622
42,100,6,S. oneidensis,0.0000,698,6,0.119718
42,100,7,O. intermedium AM7,0.0000,692,6,0.132491
42,200,1,C. neoformans,0.1000,699,6,1.385446
42,200,2,D. radiodurans,0.0000,700,6,0.551788
42,200,3,C. sphaerospermum,0.1400,699,6,1.962027
42,200,4,B. subtilis,0.0000,700,6,0.593216
42,200,5,A. niger,0.0650,703,6,1.396747
42,200,6,S. oneidensis,0.0000,699,6,0.286537
42,200,7,O. intermedium AM7,0.0000,695,6,0.288255
42,300,1,C. neoformans,0.1000,698,6,1.645358
42,300,2,D. radiodurans,0.0000,703,6,0.733260
42,300,3,C. sphaerospermum,0.1400,696,6,2.270378
42,300,4,B. subtilis,0.0000,701,6,0.816100
42,300,5,A. niger,0.0650,701,6,1.747839
42,300,6,S. oneidensis,0.0000,695,6,0.422170
42,300,7,O. intermedium AM7,0.0000,697,6,0.423411
42,400,1,C. neoformans,0.1000,698,6,1.829163
42,400,2,D. radiodurans,0.0000,700,6,0.880061
42,400,3,C. sphaerospermum,0.1400,695,6,2.501758
42,400,4,B. subtilis,0.0000,701,6,0.913098
42,400,5,A. niger,0.0650,699,6,2.008490
42,400,6,S. oneidensis,0.0000,697,6,0.527164
42,400,7,O. intermedium AM7,0.0000,693,6,0.570928
43,0,1,C. neoformans,0.1000,288,6,0.000000
43,0,2,D. radiodurans,0.0000,368,6,0.000000
43,0,3,C. sphaerospermum,0.1400,378,6,0.000000
43,0,4,B. subtilis,0.0000,468,6,0.000000
43,0,5,A. niger,0.0650,438,6,0.000000
43,0,6,S. oneidensis,0.0000,556,6,0.000000
43,0,7,O. intermedium AM7,0.0000,400,6,0.000000
43,100,1,C. neoformans,0.1000,696,6,1.082175
43,100,2,D. radiodurans,0.0000,699,6,0.119461
43,100,3,C. sphaerospermum,0.1400,697,6,1.488032
43,100,4,B. subtilis,0.0000,698,6,0.132141
43,100,5,A. niger,0.0650,699,6,1.081524
43,100,6,S. oneidensis,0.0000,699,6,0.118162
43,100,7,O. intermedium AM7,0.0000,702,6,0.314302
43,200,1,C. neoformans,0.1000,695,6,1.477419
43,200,2,D. radiodurans,0.0000,704,6,0.434842
43,200,3,C. sphaerospermum,0.1400,697,6,2.007547
43,200,4,B. subtilis,0.0000,697,6,0.304375
43,200,5,A. niger,0.0650,696,6,1.620163
43,200,6,S. oneidensis,0.0000,702,6,0.264258
43,200,7,O. intermedium AM7,0.0000,702,6,0.555255
43,300,1,C. neoformans,0.1000,696,6,1.707193
43,300,2,D. radiodurans,0.0000,704,6,0.624734
43,300,3,C. sphaerospermum,0.1400,697,6,2.317666
43,300,4,B. subtilis,0.0000,697,6,0.440650
43,300,5,A. niger,0.0650,695,6,2.020232
43,300,6,S. oneidensis,0.0000,703,6,0.426676
43,300,7,O. intermedium AM7,0.0000,700,6,0.753098
43,400,1,C. neoformans,0.1000,696,6,1.910873
43,400,2,D. radiodurans,0.0000,702,6,0.817154
43,400,3,C. sphaerospermum,0.1400,696,6,2.553529
43,400,4,B. subtilis,0.0000,696,6,0.570537
43,400,5,A. niger,0.0650,699,6,2.302076
43,400,6,S. oneidensis,0.0000,704,6,0.583833
43,400,7,O. intermedium AM7,0.0000,700,6,0.940094
44,0,1,C. neoformans,0.1000,288,6,0.000000
44,0,2,D. radiodurans,0.0000,466,6,0.000000
44,0,3,C. sphaerospermum,0.1400,249,6,0.000000
44,0,4,B. subtilis,0.0000,458,6,0.000000
44,0,5,A. niger,0.0650,288,6,0.000000
44,0,6,S. oneidensis,0.0000,438,6,0.000000
44,0,7,O. intermedium AM7,0.0000,498,6,0.000000
