# melanin ensemble sweep
# N=20 parcels_per_species=2 n_mcs=400 snapshot_interval=100
# seeds=42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
# observable=mean melanin over OCCUPIED SITES (volume-weighted; biofilms_potts.jl take_snapshot). The mean of per-parcel means is a different quantity and is not computed here.
# alpha_M is a declared input, not a measurement.
seed,mcs,species,species_name,alpha_M,volume,n_cells,mean_melanin
42,0,1,C. neoformans,0.1000,246,2,0.000000
42,0,2,D. radiodurans,0.0000,154,2,0.000000
42,0,3,C. sphaerospermum,0.1400,238,2,0.000000
42,0,4,B. subtilis,0.0000,187,2,0.000000
42,0,5,A. niger,0.0650,89,2,0.000000
42,0,6,S. oneidensis,0.0000,73,2,0.000000
42,0,7,O. intermedium AM7,0.0000,18,2,0.000000
42,100,1,C. neoformans,0.1000,234,2,1.098378
42,100,2,D. radiodurans,0.0000,234,2,0.598840
42,100,3,C. sphaerospermum,0.1400,236,2,2.283080
42,100,4,B. subtilis,0.0000,234,2,0.472296
42,100,5,A. niger,0.0650,234,2,1.510793
42,100,6,S. oneidensis,0.0000,234,2,0.357943
42,100,7,O. intermedium AM7,0.0000,232,2,0.689847
42,200,1,C. neoformans,0.1000,233,2,1.486297
42,200,2,D. radiodurans,0.0000,235,2,1.078449
42,200,3,C. sphaerospermum,0.1400,234,2,3.394956
42,200,4,B. subtilis,0.0000,234,2,1.029147
42,200,5,A. niger,0.0650,234,2,2.356435
42,200,6,S. oneidensis,0.0000,234,2,0.727849
42,200,7,O. intermedium AM7,0.0000,233,2,1.384485
42,300,1,C. neoformans,0.1000,233,2,1.785455
42,300,2,D. radiodurans,0.0000,232,2,1.445665
42,300,3,C. sphaerospermum,0.1400,236,2,4.062750
42,300,4,B. subtilis,0.0000,233,2,1.451596
42,300,5,A. niger,0.0650,233,2,2.992691
42,300,6,S. oneidensis,0.0000,233,2,1.047963
42,300,7,O. intermedium AM7,0.0000,234,2,1.838935
42,400,1,C. neoformans,0.1000,234,2,2.371623
42,400,2,D. radiodurans,0.0000,234,2,1.671668
